,time,open,high,low,close,volume,ticker
709,2020-12-28,12300,12930,12200,12930,27388490,POW
710,2020-12-29,12930,13480,12790,13230,14995030,POW
711,2020-12-30,13230,13570,13080,13180,9297180,POW
712,2020-12-31,13130,13480,12980,13380,11085450,POW
713,2021-01-04,13670,14120,13520,13870,13808900,POW
714,2021-01-05,13720,14160,13670,13970,9595700,POW
715,2021-01-06,14120,14160,13570,13670,15814800,POW
716,2021-01-07,13670,13970,13430,13770,18878300,POW
717,2021-01-08,13970,13970,13570,13720,17665900,POW
718,2021-01-11,13870,14410,13820,14360,14990800,POW
719,2021-01-12,14510,14510,14120,14360,10218500,POW
720,2021-01-13,14360,14360,13970,13970,12927200,POW
721,2021-01-14,13970,14060,13670,13970,13572300,POW
722,2021-01-15,13970,14360,13970,14120,11154600,POW
723,2021-01-18,14260,14950,14120,14510,16600500,POW
724,2021-01-19,14560,14850,13520,13620,16957800,POW
725,2021-01-20,13820,14020,12880,13770,13429400,POW
726,2021-01-21,14060,14360,13720,14120,10056900,POW
727,2021-01-22,14120,14510,13920,14120,11368400,POW
728,2021-01-25,13970,14210,13870,13920,7333100,POW
729,2021-01-26,13970,13970,12980,13280,10346400,POW
730,2021-01-27,12880,13330,12390,12590,14521900,POW
731,2021-01-28,11750,12100,11750,11750,9377000,POW
732,2021-01-29,10970,12300,10970,11700,12247000,POW
733,2021-02-01,11660,12150,11310,11310,12195500,POW
734,2021-02-02,11310,11610,11070,11460,9166200,POW
735,2021-02-03,11800,12250,11700,12250,16931600,POW
736,2021-02-04,12490,12740,12250,12390,15551800,POW
737,2021-02-04,12490,12740,12250,12390,15551800,POW
738,2021-02-05,12390,12590,12300,12490,5998400,POW
739,2021-02-08,12440,12590,11700,11950,12156400,POW
740,2021-02-09,12100,12250,11700,12150,7941500,POW
741,2021-02-17,12490,12790,12300,12790,9935900,POW
742,2021-02-18,12880,13080,12590,12840,11708900,POW
743,2021-02-19,12690,13080,12690,12840,8101200,POW
744,2021-02-22,12840,12930,12640,12690,9439200,POW
745,2021-02-23,12790,12840,12540,12640,9370900,POW
746,2021-02-24,12740,12840,12300,12440,10513000,POW
747,2021-02-25,12590,12690,12300,12490,8492300,POW
748,2021-02-26,12340,12490,12200,12390,7515500,POW
749,2021-03-01,12490,12880,12440,12840,10267400,POW
750,2021-03-02,12980,12980,12690,12740,10191700,POW
751,2021-03-03,12690,12740,12540,12640,8794600,POW
752,2021-03-04,12740,12740,12200,12390,10157900,POW
753,2021-03-05,12740,13230,12690,13230,44357300,POW
754,2021-03-08,14120,14120,13820,13920,34227700,POW
755,2021-03-09,13720,13770,13380,13380,28684500,POW
756,2021-03-10,13230,13770,13130,13430,22201300,POW
757,2021-03-11,13720,13720,13480,13570,13652000,POW
758,2021-03-12,13670,13720,13430,13520,13528800,POW
759,2021-03-15,13520,13620,13430,13480,15883100,POW
760,2021-03-16,13480,13480,13080,13380,20292100,POW
761,2021-03-17,13520,13970,13480,13720,25717600,POW
762,2021-03-18,13870,13920,13520,13620,11404800,POW
763,2021-03-19,13480,13520,13180,13180,21629500,POW
764,2021-03-22,13380,13480,13230,13330,14660600,POW
765,2021-03-23,13380,13430,12980,13080,14109000,POW
766,2021-03-24,12740,12880,12390,12540,24200900,POW
767,2021-03-25,12640,12790,12390,12390,13389000,POW
768,2021-03-26,12300,12640,11900,12490,14529800,POW
769,2021-03-29,12740,13030,12490,12880,11148900,POW
770,2021-03-30,12980,13180,12790,12980,11588000,POW
771,2021-03-31,12790,13180,12790,12980,8988500,POW
772,2021-04-01,12980,13570,12790,13430,21872400,POW
773,2021-04-02,13520,13620,13280,13380,11785100,POW
774,2021-04-05,13620,13620,13280,13430,12615100,POW
775,2021-04-06,13380,13430,13130,13230,13868900,POW
776,2021-04-07,13280,13820,13130,13720,23912700,POW
777,2021-04-08,13770,13820,13430,13570,13369700,POW
778,2021-04-09,13620,13670,13480,13570,13053600,POW
779,2021-04-12,13720,14260,13520,14020,39387800,POW
780,2021-04-13,14060,14120,13480,13620,16991000,POW
781,2021-04-14,13380,13670,13330,13570,14854400,POW
782,2021-04-15,13670,13670,13180,13180,21610400,POW
783,2021-04-16,13080,13330,12590,12980,21614100,POW
784,2021-04-19,13080,13080,12740,12880,11302100,POW
785,2021-04-20,12980,13080,12740,12790,11344700,POW
786,2021-04-22,12640,12790,12150,12150,16952500,POW
787,2021-04-23,12150,12390,11950,12390,14126600,POW
788,2021-04-26,12540,12540,11850,11900,11207300,POW
789,2021-04-27,11900,12150,11700,11900,8043200,POW
790,2021-04-28,11900,12340,11900,12000,7027100,POW
791,2021-04-29,12200,12250,12000,12100,5736700,POW
792,2021-05-04,11750,11950,11700,11850,9725200,POW
793,2021-05-05,11950,12640,11950,12490,17327900,POW
794,2021-05-06,12490,12590,12100,12100,9399100,POW
795,2021-05-07,12000,12100,11800,11900,10335400,POW
796,2021-05-10,11850,12100,11750,12000,10027600,POW
797,2021-05-11,12100,12440,11950,12100,12029400,POW
798,2021-05-12,12100,12340,12100,12250,6957000,POW
799,2021-05-13,12200,12390,12000,12000,11655400,POW
800,2021-05-14,12150,12340,12000,12050,13201700,POW
801,2021-05-17,12100,12300,11950,11950,7355700,POW
802,2021-05-18,11900,12050,11750,11800,9919200,POW
803,2021-05-19,11800,11900,11410,11510,16967900,POW
804,2021-05-20,11510,11660,11210,11260,14892600,POW
805,2021-05-21,11260,11750,11120,11510,10073200,POW
806,2021-05-24,11660,11750,11510,11610,7144500,POW
807,2021-05-25,11800,11950,11660,11700,8904500,POW
808,2021-05-26,11660,11700,11460,11460,10227800,POW
809,2021-05-27,11560,11660,11360,11460,10007800,POW
810,2021-05-28,11460,11610,11410,11510,11050400,POW
811,2021-05-31,11510,11560,11260,11560,10786100,POW
812,2021-06-01,11900,12100,11800,11900,15276200,POW
813,2021-06-02,11950,12000,11660,11700,10585300,POW
814,2021-06-03,11750,12490,11750,12490,29463700,POW
